Title,Lifetime_Gross
Avengers: Endgame,"2,797,800,564"
Avatar,"2,790,439,000"
Titanic,"2,194,439,542"
Star Wars: Episode VII - The Force Awakens,"2,068,223,624"
Avengers: Infinity War,"2,048,359,754"
Jurassic World,"1,670,400,637"
The Lion King,"1,656,943,394"
The Avengers,"1,518,812,988"
Furious 7,"1,515,047,671"
Frozen II,"1,450,026,933"
Avengers: Age of Ultron,"1,402,805,868"
Black Panther,"1,346,913,161"
Harry Potter and the Deathly Hallows: Part 2,"1,341,932,398"
Star Wars: Episode VIII - The Last Jedi,"1,332,539,889"
Jurassic World: Fallen Kingdom,"1,308,467,944"
